"PID","Gr.Liv.Area","Kitchen.Qual","Lot.Area","Year.Built","Exter.Qual","Full.Bath","Half.Bath","Bsmt.Full.Bath","Bsmt.Half.Bath","TotRms.AbvGrd","Fireplaces","Garage.Cars","Garage.Finish","Wood.Deck.SF","Open.Porch.SF","Lot.Config","Bedroom.AbvGr","Kitchen.AbvGr","luxury"
526301100,1656,"TA",31770,1960,"TA",1,0,1,0,7,2,2,"Fin",210,62,"Corner",3,1,"Standard"
526350040,896,"TA",11622,1961,"TA",1,0,0,0,5,0,1,"Unf",140,0,"Inside",2,1,"Standard"
526351010,1329,"Gd",14267,1958,"TA",1,1,0,0,6,0,1,"Unf",393,36,"Corner",3,1,"Standard"
526353030,2110,"Ex",11160,1968,"Gd",2,1,1,0,8,2,2,"Fin",0,0,"Corner",3,1,"Standard"
527105010,1629,"TA",13830,1997,"TA",2,1,0,0,6,1,2,"Fin",212,34,"Inside",3,1,"Standard"
527105030,1604,"Gd",9978,1998,"TA",2,1,0,0,7,1,2,"Fin",360,36,"Inside",3,1,"Standard"
527127150,1338,"Gd",4920,2001,"Gd",2,0,1,0,6,0,2,"Fin",0,0,"Inside",2,1,"Standard"
527145080,1280,"Gd",5005,1992,"Gd",2,0,0,0,5,0,2,"RFn",0,82,"Inside",2,1,"Standard"
527146030,1616,"Gd",5389,1995,"Gd",2,0,1,0,5,1,2,"RFn",237,152,"Inside",2,1,"Standard"
527162130,1804,"Gd",7500,1999,"TA",2,1,0,0,7,1,2,"Fin",140,60,"Inside",3,1,"Standard"
527163010,1655,"TA",10000,1993,"TA",2,1,0,0,7,1,2,"Fin",157,84,"Corner",3,1,"Standard"
527165230,1187,"TA",7980,1992,"TA",2,0,1,0,6,0,2,"Fin",483,21,"Inside",3,1,"Standard"
527166040,1465,"TA",8402,1998,"TA",2,1,0,0,7,1,2,"Fin",0,75,"Inside",3,1,"Standard"
527180040,1341,"Gd",10176,1990,"TA",1,1,1,0,5,1,2,"Unf",192,0,"Inside",2,1,"Standard"
527182190,1502,"Gd",6820,1985,"Gd",1,1,1,0,4,0,2,"RFn",0,54,"Corner",1,1,"Standard"
527216070,3279,"Ex",53504,2003,"Ex",3,1,1,0,12,1,3,"Fin",503,36,"CulDSac",4,1,"Luxury"
527225035,1752,"TA",12134,1988,"Gd",2,0,0,0,8,0,2,"RFn",325,12,"Inside",4,1,"Standard"
527258010,1856,"Ex",11394,2010,"Gd",1,1,1,0,8,1,3,"Fin",113,0,"Corner",1,1,"Luxury"
527276150,864,"TA",19138,1951,"TA",1,0,0,0,4,0,2,"Unf",0,0,"Corner",2,1,"Standard"
527302110,2073,"TA",13175,1978,"TA",2,0,1,0,7,2,2,"Unf",349,0,"Inside",3,1,"Standard"
527358140,1844,"TA",11751,1977,"TA",2,0,0,0,7,1,2,"RFn",0,122,"Inside",3,1,"Standard"
527358200,1173,"Gd",10625,1974,"TA",2,0,1,0,6,2,2,"RFn",0,120,"Inside",3,1,"Standard"
527368020,1674,"Gd",7500,2000,"Gd",2,1,1,0,7,0,2,"RFn",0,96,"Inside",3,1,"Standard"
527402200,1004,"TA",11241,1970,"TA",1,0,1,0,5,1,2,"Fin",0,0,"CulDSac",2,1,"Standard"
527402250,1078,"TA",12537,1971,"TA",1,1,1,0,6,1,2,"Fin",0,0,"CulDSac",3,1,"Standard"
527403020,1056,"TA",8450,1968,"TA",1,0,1,0,6,1,1,"Unf",0,85,"Inside",3,1,"Standard"
527404120,882,"TA",8400,1970,"TA",1,0,1,0,4,0,2,"Fin",240,0,"Corner",2,1,"Standard"
527427230,1337,"Gd",5858,1999,"Gd",2,0,1,0,5,1,2,"Fin",203,68,"FR2",2,1,"Standard"
527451180,987,"TA",1680,1971,"TA",1,1,0,0,5,0,1,"Unf",275,0,"Inside",2,1,"Standard"
527451330,1092,"TA",1680,1971,"TA",1,1,0,0,6,0,1,"Unf",0,0,"Inside",3,1,"Standard"
527451410,1092,"TA",1680,1971,"TA",1,1,0,0,6,0,1,"Unf",0,0,"Inside",3,1,"Standard"
527452190,1069,"TA",4043,1977,"TA",2,0,0,0,4,1,2,"RFn",0,55,"Inside",2,1,"Standard"
527453130,1456,"Gd",2280,1975,"TA",2,1,0,0,6,1,2,"Unf",173,0,"FR2",3,1,"Standard"
527453150,836,"TA",2280,1975,"TA",1,0,0,0,4,0,1,"Unf",0,30,"FR2",2,1,"Standard"
527454200,1456,"TA",2280,1978,"TA",2,1,0,0,7,1,2,"Unf",26,0,"Inside",3,1,"Standard"
528108120,2334,"Ex",12858,2009,"Ex",2,1,0,0,10,1,3,"Fin",144,133,"Inside",3,1,"Luxury"
528112020,1704,"Gd",11478,2007,"Gd",2,0,1,0,7,1,3,"RFn",0,50,"Inside",3,1,"Luxury"
528120060,1940,"Ex",10159,2009,"Ex",2,1,1,0,8,1,3,"Fin",168,95,"Inside",3,1,"Luxury"
528120090,1544,"Gd",12883,2009,"Gd",2,0,0,0,7,0,3,"RFn",0,35,"Corner",3,1,"Luxury"
528120100,1541,"Gd",12182,2005,"Gd",2,0,0,0,7,1,2,"RFn",0,70,"Corner",3,1,"Standard"
528120120,1698,"Ex",11520,2005,"Gd",2,0,0,0,7,1,3,"Fin",192,74,"Inside",3,1,"Luxury"
528138020,1822,"Ex",14122,2005,"Gd",2,0,0,0,8,1,3,"RFn",0,119,"Inside",3,1,"Luxury"
528138060,1535,"Gd",10171,2004,"Gd",2,0,0,0,7,0,2,"RFn",0,0,"Inside",3,1,"Standard"
528150070,2364,"Ex",12919,2009,"Ex",2,1,1,0,11,2,3,"Fin",0,67,"Inside",2,1,"Luxury"
528175010,1358,"Gd",6371,2009,"Gd",2,0,1,0,6,1,2,"RFn",192,35,"Inside",2,1,"Standard"
528176010,2696,"Ex",14300,2003,"Ex",2,1,1,0,10,2,3,"Fin",220,150,"Inside",3,1,"Luxury"
528176070,2250,"Gd",13650,2002,"Gd",2,1,1,0,7,1,3,"Fin",238,130,"Corner",3,1,"Luxury"
528180070,1752,"Ex",7658,2005,"Ex",2,0,1,0,6,1,2,"RFn",196,82,"Inside",2,1,"Luxury"
528181050,1370,"Gd",7132,2006,"Gd",2,0,0,0,6,1,2,"RFn",120,49,"Inside",2,1,"Standard"
528188120,1626,"Gd",2628,2003,"Gd",2,1,0,0,6,0,2,"RFn",0,27,"Inside",2,1,"Standard"
528218150,1324,"Gd",18494,2005,"Gd",2,0,0,0,6,0,2,"Fin",36,23,"Corner",3,1,"Standard"
